MAPPED_TRAIT_URI	MAPPED_TRAIT	SNPS	STUDY	LINK
http://www.ebi.ac.uk/efo/EFO_0004611	low density lipoprotein cholesterol measurement	rs8051431	Association analyses of East Asian individuals and trans-ancestry analyses with European individuals reveal new loci associated with cholesterol and triglyceride levels.	www.ncbi.nlm.nih.gov/pubmed/28334899
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000341	forced expiratory volume, response to bronchodilator, chronic obstructive pulmonary disease	rs79414853	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0005664	blood metabolite measurement	rs8012	An atlas of genetic influences on human blood metabolites.	www.ncbi.nlm.nih.gov/pubmed/24816252
http://www.ebi.ac.uk/efo/EFO_0004784	self reported educational attainment	rs7594192	Common genetic variants associated with cognitive performance identified using the proxy-phenotype method.	www.ncbi.nlm.nih.gov/pubmed/25201988
http://www.ebi.ac.uk/efo/EFO_0005114	head circumference	rs682331	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://www.ebi.ac.uk/efo/EFO_0008002, http://www.ebi.ac.uk/efo/EFO_0004340	physical activity measurement, body mass index	rs4130548	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0003898	ankylosing spondylitis	rs30187 x rs116488202	Identification of multiple risk variants for ankylosing spondylitis through high-density genotyping of immune-related loci.	www.ncbi.nlm.nih.gov/pubmed/23749187
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs4916478	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0007985	plateletcrit	rs2072732	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0006335	systolic blood pressure	rs1799945	Novel Blood Pressure Locus and Gene Discovery Using Genome-Wide Association Study and Expression Data Sets From Blood and the Kidney.	www.ncbi.nlm.nih.gov/pubmed/28739976
http://www.ebi.ac.uk/efo/EFO_0004574	total cholesterol measurement	rs3773777	Association analyses of East Asian individuals and trans-ancestry analyses with European individuals reveal new loci associated with cholesterol and triglyceride levels.	www.ncbi.nlm.nih.gov/pubmed/28334899
http://www.ebi.ac.uk/efo/EFO_0004541	A1C measurement	rs837763	Impact of common genetic determinants of Hemoglobin A1c on type 2 diabetes risk and diagnosis in ancestrally diverse populations: A transethnic genome-wide meta-analysis.	www.ncbi.nlm.nih.gov/pubmed/28898252
http://www.ebi.ac.uk/efo/EFO_0000378	coronary artery disease	rs11170820	Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.	www.ncbi.nlm.nih.gov/pubmed/29212778
http://www.ebi.ac.uk/efo/EFO_0001068	malaria	rs11335470	Novel genetic polymorphisms associated with severe malaria and under selective pressure in North-eastern Tanzania.	www.ncbi.nlm.nih.gov/pubmed/29381699
http://www.ebi.ac.uk/efo/EFO_0007985	plateletcrit	rs13144869	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0005193	serum IgG glycosylation measurement	rs10813951	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	www.ncbi.nlm.nih.gov/pubmed/23382691
http://www.ebi.ac.uk/efo/EFO_1001161	rheumatic heart disease	rs11846409	Association between a common immunoglobulin heavy chain allele and rheumatic heart disease risk in Oceania.	www.ncbi.nlm.nih.gov/pubmed/28492228
http://www.ebi.ac.uk/efo/EFO_0000712	stroke	rs2107595	Genetic risk factors for ischaemic stroke and its subtypes (the METASTROKE collaboration): a meta-analysis of genome-wide association studies.	www.ncbi.nlm.nih.gov/pubmed/23041239
http://www.ebi.ac.uk/efo/EFO_0005664	blood metabolite measurement	rs12602901	An atlas of genetic influences on human blood metabolites.	www.ncbi.nlm.nih.gov/pubmed/24816252
http://www.ebi.ac.uk/efo/EFO_0005193	serum IgG glycosylation measurement	rs10813951	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	www.ncbi.nlm.nih.gov/pubmed/23382691
http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	intelligence, self reported educational attainment	rs10897167	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	www.ncbi.nlm.nih.gov/pubmed/29326435
http://www.ebi.ac.uk/efo/EFO_0004571	butyrylcholinesterase measurement	rs11675251	GWAS of butyrylcholinesterase activity identifies four novel loci, independent effects within BCHE and secondary associations with metabolic risk factors.	www.ncbi.nlm.nih.gov/pubmed/21862451
http://www.ebi.ac.uk/efo/EFO_0004633	protein C measurement	rs867186	A genome-wide association study of the Protein C anticoagulant pathway.	www.ncbi.nlm.nih.gov/pubmed/22216198
http://www.ebi.ac.uk/efo/EFO_0005664	blood metabolite measurement	rs4149056	An atlas of genetic influences on human blood metabolites.	www.ncbi.nlm.nih.gov/pubmed/24816252
http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist-hip ratio, physical activity measurement	rs10919388	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0004531	urate measurement	rs10821905	Genome-wide association analyses identify 18 new loci associated with serum urate concentrations.	www.ncbi.nlm.nih.gov/pubmed/23263486
http://www.ebi.ac.uk/efo/EFO_0003888	attention deficit hyperactivity disorder	rs10463833	Genome-wide association study of inattention and hyperactivity-impulsivity measured as quantitative traits.	www.ncbi.nlm.nih.gov/pubmed/23527680
http://www.ebi.ac.uk/efo/EFO_0008354	cognitive function measurement	rs867371	Large-Scale Cognitive GWAS Meta-Analysis Reveals Tissue-Specific Neural Expression and Potential Nootropic Drug Targets.	www.ncbi.nlm.nih.gov/pubmed/29186694
http://www.ebi.ac.uk/efo/EFO_0004870	sleep measurement	rs11662748	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://www.ebi.ac.uk/efo/EFO_0007841	facial morphology measurement	rs11601484	Genome-wide association study of facial morphology reveals novel associations with FREM1 and PARK2.	www.ncbi.nlm.nih.gov/pubmed/28441456
http://purl.obolibrary.org/obo/HP_0002315	Headache	rs2362290	A Genome-Wide Association Study Finds Genetic Associations with Broadly-Defined Headache in UK Biobank (N=223,773).	www.ncbi.nlm.nih.gov/pubmed/29397368
http://www.ebi.ac.uk/efo/EFO_0004207	pathological myopia	rs12216812	A genome-wide association study provides evidence for association of chromosome 8p23 (MYP10) and 10q21.1 (MYP15) with high myopia in the French Population.	www.ncbi.nlm.nih.gov/pubmed/23049088
http://www.ebi.ac.uk/efo/EFO_0003884	chronic kidney disease	rs4814615	Genome-wide association scan for survival on dialysis in African-Americans with type 2 diabetes.	www.ncbi.nlm.nih.gov/pubmed/21546767
http://www.ebi.ac.uk/efo/EFO_0004343, http://www.ebi.ac.uk/efo/EFO_0004340	waist-hip ratio, body mass index	rs10919388	New genetic loci link adipose and insulin biology to body fat distribution.	www.ncbi.nlm.nih.gov/pubmed/25673412
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs9863706	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	www.ncbi.nlm.nih.gov/pubmed/20881960
http://www.ebi.ac.uk/efo/EFO_0008401	susceptibility to shingles measurement	rs115166140	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0000708	squamous cell lung carcinoma	rs138809958	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	www.ncbi.nlm.nih.gov/pubmed/28604730
http://www.ebi.ac.uk/efo/EFO_0005266	serum selenium measurement	rs679582	Genome-wide association study identifies loci affecting blood copper, selenium and zinc.	www.ncbi.nlm.nih.gov/pubmed/23720494
http://www.ebi.ac.uk/efo/EFO_0004193	basal cell carcinoma	rs13014235	New basal cell carcinoma susceptibility loci.	www.ncbi.nlm.nih.gov/pubmed/25855136
http://www.ebi.ac.uk/efo/EFO_1001870	late-onset Alzheimers disease	rs146322114	Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.	www.ncbi.nlm.nih.gov/pubmed/27770636
http://www.ebi.ac.uk/efo/EFO_0001663	prostate carcinoma	rs10486567	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.	www.ncbi.nlm.nih.gov/pubmed/26034056
http://www.ebi.ac.uk/efo/EFO_0007985	plateletcrit	rs6919440	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004309	platelet count	rs3747207	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004631, http://www.ebi.ac.uk/efo/EFO_0008539	vitamin D measurement, vitamin D dietary intake measurement	rs2282679	Genome-wide association study in 79,366 European-ancestry individuals informs the genetic architecture of 25-hydroxyvitamin D levels.	www.ncbi.nlm.nih.gov/pubmed/29343764
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs150347869	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0007865	loneliness measurement	rs116256240	Genome-Wide Association Study of Loneliness Demonstrates a Role for Common Variation.	www.ncbi.nlm.nih.gov/pubmed/27629369
http://www.ebi.ac.uk/efo/EFO_0005782	age-related hearing impairment	rs1402901 x rs2173318	Genome-wide association analysis demonstrates the highly polygenic character of age-related hearing impairment.	www.ncbi.nlm.nih.gov/pubmed/24939585
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	forced expiratory volume, response to bronchodilator	rs73140731	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007789	smoking behavior, BMI-adjusted waist circumference	rs2274432	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	www.ncbi.nlm.nih.gov/pubmed/28443625
http://www.ebi.ac.uk/efo/EFO_0005854	allergic rhinitis	rs4713039	Integrated genome-wide association, coexpression network, and expression single nucleotide polymorphism analysis identifies novel pathway in allergic rhinitis.	www.ncbi.nlm.nih.gov/pubmed/25085501
http://www.ebi.ac.uk/efo/EFO_0004300	longevity	rs10519203	Variants near CHRNA3/5 and APOE have age- and sex-related effects on human lifespan.	www.ncbi.nlm.nih.gov/pubmed/27029810
http://www.ebi.ac.uk/efo/EFO_0005529, http://www.ebi.ac.uk/efo/EFO_0005530	Chagas cardiomyopathy, Trypanosoma cruzi seropositivity	rs1356410	Genome wide association study (GWAS) of Chagas cardiomyopathy in Trypanosoma cruzi seropositive subjects.	www.ncbi.nlm.nih.gov/pubmed/24324551
http://www.ebi.ac.uk/efo/EFO_0004723, http://www.ebi.ac.uk/efo/EFO_0001360	coronary artery calcification, type II diabetes mellitus	rs7689240	Genome-wide association study of coronary artery calcified atherosclerotic plaque in African Americans with type 2 diabetes.	www.ncbi.nlm.nih.gov/pubmed/29221444
http://www.ebi.ac.uk/efo/EFO_1000566	Testicular Germ Cell Tumor	rs2736100	Meta-analysis of five genome-wide association studies identifies multiple new loci associated with testicular germ cell tumor.	www.ncbi.nlm.nih.gov/pubmed/28604732
http://purl.obolibrary.org/obo/GO_0097336	response to risperidone	rs888219	Genome-wide pharmacogenomic analysis of response to treatment with antipsychotics.	www.ncbi.nlm.nih.gov/pubmed/19721433
http://www.ebi.ac.uk/efo/EFO_0000707	squamous cell carcinoma	rs12203592	Identification of Susceptibility Loci for Cutaneous Squamous Cell Carcinoma.	www.ncbi.nlm.nih.gov/pubmed/26829030
http://www.ebi.ac.uk/efo/EFO_0006859, http://www.ebi.ac.uk/efo/EFO_0000714	head and neck malignant neoplasia, survival time	rs2299187	A genome-wide association study of non-HPV-related head and neck squamous cell carcinoma identifies prognostic genetic sequence variants in the MAP-kinase and hormone pathways.	www.ncbi.nlm.nih.gov/pubmed/27173062
http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	intelligence, self reported educational attainment	rs74944275	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	www.ncbi.nlm.nih.gov/pubmed/29326435
http://www.ebi.ac.uk/efo/EFO_0000384	Crohn's disease	rs6863411	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	www.ncbi.nlm.nih.gov/pubmed/26192919
http://www.ebi.ac.uk/efo/EFO_0004695	intraocular pressure measurement	rs2839082	A large multi-ethnic genome-wide association study identifies novel genetic loci for intraocular pressure.	www.ncbi.nlm.nih.gov/pubmed/29235454
http://www.ebi.ac.uk/efo/EFO_0004338	body weight	rs17668565	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://www.ebi.ac.uk/efo/EFO_0004645	response to vaccine	rs5747408	Key HLA-DRB1-DQB1 haplotypes and role of the BTNL2 gene for response to a hepatitis B vaccine.	www.ncbi.nlm.nih.gov/pubmed/29534301
http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0000384	psoriasis, Crohn's disease	rs1250544	Combined analysis of genome-wide association studies for Crohn disease and psoriasis identifies seven shared susceptibility loci.	www.ncbi.nlm.nih.gov/pubmed/22482804
http://www.ebi.ac.uk/efo/EFO_0008292	stem Cell Growth Factor beta measurement	rs116924815	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://www.ebi.ac.uk/efo/EFO_0003926	neuropsychological test	rs17275498	Common genetic variation and performance on standardized cognitive tests.	www.ncbi.nlm.nih.gov/pubmed/20125193
http://www.ebi.ac.uk/efo/EFO_0004574	total cholesterol measurement	rs2131925	Discovery and refinement of loci associated with lipid levels.	www.ncbi.nlm.nih.gov/pubmed/24097068
http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0004466	body mass index, fasting blood insulin measurement	rs8182584	A genome-wide approach accounting for body mass index identifies genetic variants influencing fasting glycemic traits and insulin resistance.	www.ncbi.nlm.nih.gov/pubmed/22581228
http://www.ebi.ac.uk/efo/EFO_0008221	macrophage migration inhibitory factor measurement	rs118055855	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://www.ebi.ac.uk/efo/EFO_0005664	blood metabolite measurement	rs7775554	An atlas of genetic influences on human blood metabolites.	www.ncbi.nlm.nih.gov/pubmed/24816252
http://www.ebi.ac.uk/efo/EFO_0004838	calcium measurement	rs7032317	Genome-wide association study of serum minerals levels in children of different ethnic background.	www.ncbi.nlm.nih.gov/pubmed/25886283
http://www.ebi.ac.uk/efo/EFO_0007760	eicosapentaenoic acid measurement	rs8177876	A genome-wide association study of n-3 and n-6 plasma fatty acids in a Singaporean Chinese population.	www.ncbi.nlm.nih.gov/pubmed/26584805
